zincid,smiles,dockscore
ZINC000426081439,Cc1cccnc1C(=O)N[C@@H](C)c1ccc2c(c1)OCO2,-38.85
ZINC000438152648,Cc1ccnc(-c2cccc(NC(=O)NCCN(C)C(C)C)c2)n1,-25.51
ZINC000377888466,Cc1cccc2c1OCC[C@@H]2NS(=O)(=O)CCOc1ccccc1,-30.05
ZINC000158997007,CC(=O)N1CCOC[C@@H]1C(=O)NC[C@@H]1CCCN1Cc1ccccc1,-22.8
ZINC000373751697,CC(=O)N1CC(C(=O)N[C@H]2CC(C)(C)Oc3cc(F)ccc32)C1,-38.4
ZINC000349932769,C[C@@H](CCN)NC(=O)CCN1c2ccccc2O[C@H](C)C1=O,-21.29
ZINC000424317922,CO[C@H]1C[C@H]2C[C@@H](N[C@@H]3CCCN(C)C3=O)C[C@H]2C1,-13.35
ZINC000525453785,CCCOc1cc(C)ccc1NC(=O)CN(C)CCC,-24.63
ZINC000426240690,CCN(CC)CCOCCNC(=O)N1CC[C@@H](CO)[C@@H]1C,-22.7
ZINC000100602428,CCCCn1c2ccccc2c(O)c(C(=O)Nc2cccnc2)c1=O,-33.41
ZINC000151449777,CN(C)c1nccc(N2CCN(S(=O)(=O)CCCC#N)CC2)n1,-32.1
ZINC000262813282,Cc1nc(-c2cnn(C)c2)sc1C(=O)N[C@H]1CCNC[C@H]1C,-30.23
ZINC000301729139,Nn1c(Sc2ncccc2[N+](=O)[O-])nnc1-c1cccs1,-45.77
ZINC000257221888,CNc1cncc([C@H]2CCCN2C(=O)C2=Cc3ccccc3OC2)n1,-34.89
ZINC000454469811,CO[C@H]1COCC[C@@H]1CNC(=O)NCCCN1CCCCC1=O,-24.53
ZINC000450737724,CC(C)[C@H]1C[C@@H](CN=c2nc(O)c3cnn(C)c3[nH]2)CCO1,-40.13
ZINC000072436264,Cc1cc2nc(C(C)C)cc(NCC[C@@H]3CCCOC3)n2n1,-29.87
ZINC000562397755,C[C@H]([C@H](C)N1C(=O)CN(C2CCC2)C1=O)N1CCOCC1,-29.3
ZINC000533011623,C[C@H](O)[C@@H]1CCCN(C(=O)NCC[C@@H]2CCCC[C@@H]2C)C1,-25.69
ZINC000284125242,COc1ccc(CCN[C@H]2CCC[C@@H](S(C)(=O)=O)C2)cc1F,-14.12
ZINC000494647100,C[C@H](CCN1CCOCC1)NC(=O)CC[C@@H]1CCCN1,-19.0
ZINC000369150187,O=C(c1ccc2nccn2c1)N1CCC[C@@H](n2cccn2)C1,-33.79
ZINC000365932174,O=C(NC1CCCC1)N1CCc2ncnc(N3CCOCC3)c2C1,-36.9
ZINC000407985423,Cc1cnc([C@H](C)NC(=O)N[C@H]2CCC(=O)NC2(C)C)s1,-30.54
ZINC000268683898,COc1ccc(C=O)c(OCC(=O)NC[C@H](O)c2cnn(C)c2)c1,-31.34
ZINC000493509846,CCCCN(C)C(=O)C1CCN(C(=O)/C=C\OCC)CC1,-44.17
ZINC000119082931,COc1ccc2c(c1)CCC[C@H]2CNC(=O)c1cc(C(C)C)n(C)n1,-24.52
ZINC000156258553,C[C@@H](CC(=O)N(C)CCc1nccs1)NC(=O)C1CCCC1,-27.94
ZINC000342266961,CC[C@@H]1CN(C(=O)COCC(=O)NCc2cccnc2)C[C@H]1O,-41.39
ZINC000457689798,CC(C)c1cccc(CC(=O)NCc2noc(C3CC3)n2)c1,-37.01
ZINC000153755057,COC(=O)[C@@H](C)CN(CC(=O)Nc1ccccc1[N+](=O)[O-])C1CC1,-31.92
ZINC000362074192,C=Cc1ccc(CCNC(=O)NCc2cc(C(N)=O)co2)cc1,-35.79
ZINC000447962309,Cc1nccn1CCCCNC(=O)N1CCO[C@H](C(C)(C)C)C1,-38.0
ZINC000288345285,COC(=O)[C@@H](CF)NC(=O)C(=O)c1ccc(O)cc1,-58.03
ZINC000545584540,Cc1cccc([C@H](Cc2nc([C@@H]3Cc4ccccc43)no2)NC(N)=O)c1,-41.13
ZINC000445146296,CNC(=O)Cn1cnc(NC(=O)C(=O)N2CCC[C@H](C(C)C)C2)n1,-54.83
ZINC000129621248,CC[C@@H](C)Oc1ccc(C(=O)NC[C@@H](C)O)cc1,-23.4
ZINC000134960721,CCc1cc(C(=O)NCCCCN2CCN(C)CC2)oc1CC,-29.35
ZINC000284908884,CO[C@@H]1C[C@@H](CO)N(C(=O)N[C@@H]2CCCc3nn(C)cc32)C1,-20.65
ZINC000191535525,CCN1CCCN(C(=O)Nc2ccccc2SC(C)C)CC1=O,-33.39
ZINC000347731743,CC(C)Cn1ncc2cc(C(=O)NC[C@H]3CCCN3C)cnc21,-26.42
ZINC000414883644,C[C@@H](CCN)NCc1cccc(OC2CCCC2)c1,-17.31
ZINC000344638841,NC(=O)[C@H]1CCC[C@@H](C(=O)NCCOc2ccc3ccccc3c2)C1,-37.99
ZINC000580062759,O=C(O)[C@H]1CCN(C(=O)C(=O)N2CCc3ccccc3CC2)C1,-66.64
ZINC000178237293,COC(C)(C)C(=O)N1CC[C@@H](S(=O)(=O)N2CCCC2)C1,-31.21
ZINC000408283209,CC[C@@H]1CN(C(=O)C2(NC(=O)NC(C)C)CCCCC2)CCO1,-28.13
ZINC000110515519,CC(=O)NCC(=O)N1C[C@@H](c2ccccc2Cl)OC[C@H]1C,-33.39
ZINC000343633838,C[C@@H](Cn1cccn1)Nc1ccc(N2CCC2=O)cc1,-35.06
ZINC000331937269,CCN(CC)C[C@@H](C)NC(=O)N1CCCN(S(C)(=O)=O)CC1,-19.7
ZINC000340159326,CCC1CCC(NC(=O)C(=O)N[C@@H]2CCC(=O)NC2(C)C)CC1,-28.4
ZINC000416655906,Cc1cc(S(=O)(=O)N(C)C(C)(C)CN2CCOCC2)c(C)s1,-23.46
ZINC000359228736,O=C([C@H]1CCC(F)(F)C1)N1CCN(c2cnccn2)CC1,-32.52
ZINC000021670126,CCc1ccc(C(=O)NC[C@@H](c2cccs2)N(C)C)cc1,-25.06
ZINC000450413718,CC(C)C[C@H](NC(=O)C(C)(C)C)C(=O)N1CC(=O)N(C)C1,-30.44
ZINC000305793975,CCC[C@@](C)(O)C(=O)N[C@@H]1CCN(C(=O)CCc2ccccc2)C1,-29.78
ZINC000151999379,CCO[C@H](C)c1nccn1C[C@H](O)COCc1ccccc1,-35.54
ZINC000450505457,CCC[C@@H](OC)C(=O)Nc1cccc2c1OCCC2=O,-43.04
ZINC000328709194,CC[C@@H]1CN(c2nnc(C3CCC3)n2C[C@@H]2CCCO2)C[C@H](C)O1,-25.96
ZINC000262476557,CN[C@H](C(=O)N[C@H]1CCN(CC2CCCC2)C1)c1cnn(C)c1,-26.74
ZINC000262476555,CN[C@H](C(=O)N[C@@H]1CCN(CC2CCCC2)C1)c1cnn(C)c1,-17.74
ZINC000358851858,CCc1cnccc1[C@H](C)NC(=O)N(C)Cc1nc(CCOC)no1,-29.36
ZINC000298501177,CC(=O)c1ccc(C(=O)OCC(=O)N2CCC[C@@H](C)C2)cc1,-39.31
ZINC000173910081,CC[C@H]1CN(Cc2csc(NC(C)=O)n2)c2ccccc2O1,-24.89
ZINC000524167612,C[C@@H](Nc1ncccc1S(N)(=O)=O)c1c(F)cccc1F,-35.44
ZINC000182560883,C[C@H](NC(=O)c1csc(-c2ccc([N+](=O)[O-])cc2)n1)c1ncon1,-30.84
ZINC000348326198,Cc1ncc([C@H](C)Nc2cccc(OCCN(C)C)c2)c(C)n1,-30.44
ZINC000342831570,O=C(Nc1cnn(CC(F)(F)F)c1)C(=O)N[C@H]1CC2CCC1CC2,-32.93
ZINC000356280731,CCC[C@H](CNC(=O)[C@@H]1CC[C@@H](C(=O)O)O1)OC,-57.95
ZINC000428120167,NC(=O)c1cc(NC(=O)CCn2cnccc2=O)ccc1Cl,-46.38
ZINC000530936419,Cc1nc2n(n1)CCN(c1nc3ccccc3c(NCCO)n1)C2,-41.5
ZINC000342823990,CC[C@@H](C)c1ncc(NC(=O)C(=O)N[C@H]2CC3CCC2CC3)cn1,-32.96
ZINC000341096923,C[C@H]([C@H](C)NC(=O)N[C@@H]1[C@@H]2CCCO[C@H]2C1(C)C)N1CCOCC1,-22.33
ZINC000029196794,COc1cc(CNC(=O)c2ccc(C)n2C)ccn1,-35.3
ZINC000363888749,Cn1cnc2c1CCN(C(=O)c1ccc(F)c(Cl)c1F)C2,-37.49
ZINC000562713205,Cc1ncc(C(=O)NC[C@H](CO)c2ccc(F)cc2)c(N)n1,-42.82
ZINC000352319567,COc1ccc(S(=O)(=O)N(C)[C@@H]2COC[C@@H]2O)cn1,-26.65
ZINC000263425722,COc1cccc([C@H]2C[C@@H](O)CN2Cc2ccc(C(=O)O)cc2)c1,-47.92
ZINC000096054754,COc1ccccc1C/C(C)=C\C(=O)N[C@H]1CCCNC1=O,-30.68
ZINC000193727951,CC(C)[C@@H](CO)NC(=O)C[C@H](C)N1CCCCC1=O,-16.93
ZINC000448646365,CSCC[C@@H](O)C(=O)NCCCN(C)C1CCCCC1,-7.41
ZINC000129587663,O=C(C[C@@H]1CCNC1)N[C@@H](Cc1ccccc1)C1CC1,-21.41
ZINC000292594163,CSCSc1nnc(N2CCOCC2)n1-c1cccc(C)c1,-36.58
ZINC000042509720,CCNC(=O)CN(CC)C(=O)c1cc(-c2ccc(C)cc2)n[nH]1,-38.78
ZINC000369417281,Cn1cc([C@H]2[C@@H](CNC(=O)N3CCOCC3)CCCN2C)cn1,-25.75
ZINC000520769431,COc1cccc(C2(CNC(=O)N=c3nc[nH]n3C(C)C)CC2)c1,-36.2
ZINC000341760082,CCOC(=O)[C@H]1CCCN(C(=O)CN(CC(F)F)CC2CCC2)C1,-28.53
ZINC000359374295,COCc1nc(C(=O)N(C)C[C@@H](O)COCc2ccccc2)no1,-32.12
ZINC000288861349,CCOCCC1(C(=O)NCc2nccc(C(F)F)n2)CCCC1,-23.72
ZINC000579489847,Cc1csc(NC(=O)N2CC[C@H](Nc3ncccn3)C2)c1C#N,-49.74
ZINC000354648155,CCOC(=O)[C@H](N[C@@H]1CC[C@H](CC(=O)OC)[C@@H]1C)c1ccccc1,-10.34
ZINC000134800740,CCOC(=O)C(C)(C)C(=O)NCCCN(C)c1ccccc1F,-30.81
ZINC000194712350,Cc1ccn(CC(=O)NC[C@H]2CCCN2Cc2ccccc2)c(=O)c1,-14.71
ZINC000351492892,Cc1nc(-c2ccc(C(=O)N[C@H](CO)c3cnn(C)c3)cc2)n[nH]1,-48.63
ZINC000361710683,COc1cc([C@@H]2CCCN2C(=O)[C@H]2CCNC2)cc(OC)c1OC,-16.0
ZINC000352321085,O=S(=O)(N[C@H]1CC[C@H](O)C1)c1cccc(Br)c1,-42.76
ZINC000493456430,CC(=O)NCC[C@@H]1CCCN(C(=O)/C=C/c2cncs2)C1,-38.48
ZINC000361437416,CCO[C@@H]1C[C@@H](NC(=O)NCCCS(C)(=O)=O)[C@@H]1OC,-30.0
ZINC000361385926,CN(C)C(=O)COC1CN(Cc2ccccc2N(C)C)C1,-32.35
ZINC000219677661,Cc1c(Cl)cccc1C(=O)N(CCC#N)C(C)C,-31.3
ZINC000368566636,Cc1csc(N2CCCN(C(=O)c3ocnc3C3CC3)CC2)n1,-31.6
ZINC000420287711,NC[C@@H]1CC[C@@H](N=c2[nH]c(-c3ccccc3Cl)cs2)C1,-21.54
ZINC000277224925,COC[C@@H](NC1CCN(c2cccnn2)CC1)C(C)C,-25.05
ZINC000367139899,CCc1noc(CC)c1CNC(=O)N[C@H]1CCCC12CCOCC2,-32.58
ZINC000187927279,COCCCS[C@H](C)C(=O)NC1CCCCC1,-27.3
ZINC000346221096,CCN1C[C@H](C)N(CC(=O)Nc2ccc(C)c(F)c2)C[C@H]1C,-21.83
ZINC000408170674,CC[C@@H]1C[C@H](CC(=O)N[C@H]2CCC(=O)NC2)CCO1,-31.52
ZINC000418214675,C[C@H](CCN)NC(=O)N[C@@H]1c2ccc(F)cc2O[C@H]1C,-22.39
ZINC000272795109,O=C(c1cccc(-n2cccn2)n1)N1CC2(C1)CCCCC2,-30.97
ZINC000130170683,CCN(CC)CC(=O)N[C@@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,-31.34
ZINC000357486210,CCC(=O)N1CC[C@H](c2nc(CCCc3ccsc3)no2)C1,-37.77
ZINC000528146077,O=C(NCC1CC=CC1)N1CCc2c(F)cc(F)cc2C1,-32.65
ZINC000332568124,C[C@@H]1CCC[C@H](N(C)C(=O)C(=O)N2CC[C@@H]3CNC[C@@H]3C2)C1,-17.8
ZINC000172846193,CC(C)N(C)CC(=O)NC[C@@H](C)Oc1cccc(F)c1,-26.5
ZINC000192107565,CCC(C)(C)CNC(=O)C(=O)Nc1ccc(N2CCNC(=O)C2)cc1,-41.94
ZINC000192672164,CCc1cnc(NC(=O)C(=O)N2CCc3ccccc32)s1,-42.43
ZINC000352124498,COC(=O)[C@H](CNS(=O)(=O)c1c(C)cnn1C)C1CCOCC1,-42.95
ZINC000352124495,CC1(C)CC[C@@H](NC(=O)N2CCC(c3nnc4ccccn43)CC2)C1,-48.65
ZINC000222270216,Cc1cc(N)n(CC(=O)NCc2noc(-c3c(F)cccc3F)n2)n1,-43.26
ZINC000178472359,Brc1cccc(CN2CCN(C[C@H]3CCOC3)CC2)c1,-17.32
ZINC000347799125,CCOCCOCCN(C)C(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O,-39.06
ZINC000408227067,CC(=O)NCCc1noc([C@@H]2CC[C@H]3CCCC[C@@H]3C2)n1,-31.99
ZINC000340982254,Cc1nn(C)c(C)c1CCCNC(=O)NCCc1cnccn1,-36.66
ZINC000563061677,C[C@@H]1CCN(Cc2nc(C3CC3)nn2C)CC12CCCCC2,-30.97
ZINC000451301402,CCCC[C@@H](CCC)CNS(=O)(=O)c1cccnc1C(=O)OC,-33.5
ZINC000342640571,COC(=O)CCCN1CCC(NCCC(=O)N2CCCCC2)CC1,-21.75
ZINC000295980755,Cn1ccnc1[C@@H]1N(C(=O)C[C@@H]2CSCCS2)CC1(C)C,-23.83
ZINC000358047768,CCc1nc(CCNC(=O)C(=O)N2CCn3cnnc3C2)cs1,-39.75
ZINC000349561667,OC[C@H](NCc1cc(Cl)c2c(c1)OCCO2)c1ccsc1,-32.27
ZINC000333259973,CC(=O)N(C[C@H]1CCCN1C(=O)N[C@H]1CCCOCC1)C1CC1,-30.53
ZINC000348154687,CNC(=O)[C@H]1CCC[C@H]1NCCC(=O)Nc1cccc(C#N)c1,-27.07
ZINC000353406733,Cc1ccc(F)c(OCC(=O)N[C@H]2CC[C@H](C)C2)c1,-27.99
ZINC000263361053,COCCOc1cc(C(=O)N[C@H]2C[C@@H](C(=O)O)C2)ccn1,-56.62
ZINC000519601280,C=CCNC(=O)CNC(=O)CCNC(=O)[C@@H]1CCCN1,-11.39
ZINC000565307466,CC[C@H](C)c1nc([C@H](C)NC(=O)C[C@@H](C)n2ccnc2)n[nH]1,-35.0
