zincid,smiles,dockscore
ZINC000349524786,C=CCC[C@H](C)N[C@@H]1CCOC2(CCSCC2)C1,-20.63
ZINC000429455090,O=C(N=c1cc(-c2cccc(Cl)c2)o[nH]1)C(=O)c1ccc(F)cc1,-40.84
ZINC000345061061,C[C@H]1CN(C(=O)CCc2nc(-c3ccco3)no2)C[C@@H]1C(N)=O,-37.71
ZINC000337088457,COC1CCN(C2(CNC(=O)N3CC[C@H](C)C3)CCCC2)CC1,-20.45
ZINC000119093523,CCC[C@](C)(NC[C@H](C)CS(C)(=O)=O)C(=O)OC,-25.24
ZINC000159737040,CCN(CC#N)CCOc1cc(Cl)cc(Cl)c1,-25.56
ZINC000288738153,C/C=C(\CC)C(=O)Oc1ccc2c(c1F)CCC2=O,-37.51
ZINC000572160415,C[C@@H]1NCC[C@H]1C(=O)Nc1ccccc1OC1CCCC1,-24.81
ZINC000053350347,Cc1nn(C)c(C)c1C(=O)NCc1ccc(N2CCCCC2=O)cc1,-54.16
ZINC000332767265,O=C([C@@H]1CNC(=O)C1)N1CCC[C@H]1[C@@H]1CCCC1=O,-26.74
ZINC000370257784,CCn1nc(C)c(S(=O)(=O)N2CCc3c(ncn3C)C2)c1C,-40.28
ZINC000264253770,CCCCC[C@@H](C)NC(=O)C(=O)Nc1ccc(OCC(=O)NC)cc1,-25.11
ZINC000339971064,CO[C@H]1CCC[C@H](C(=O)NCc2nc(C)no2)C1,-29.36
ZINC000127459883,NC(=O)[C@H]1CCCN(Cc2ccc(NCc3ncc[nH]3)cc2)C1,-31.08
ZINC000456055593,Cc1ccc(-c2nc(C)c(C(=O)NC3(CF)CCOCC3)s2)o1,-37.27
ZINC000448205279,CCOC(=O)[C@H]1CN(C(=O)c2cc(C)ccc2F)Cc2ccccc21,-27.95
ZINC000362599634,CCOC(=O)CCN(C)C(=O)CCc1c[nH]c2cc(C)ccc12,-34.13
ZINC000450174041,CNC(=O)[C@@H](NC(=O)c1cnc(C2CC2)nc1)C(C)C,-26.0
ZINC000417754962,COc1ccc(C[C@H](C)NC(=O)NC[C@H]2CNC[C@@H]2O)cc1OC,-21.56
ZINC000076351878,CCCN(CC(=O)N(C)C)S(=O)(=O)Cc1ccccc1Cl,-34.5
ZINC000282431165,COCCN1CN(C(=O)c2cccnc2N2CCCCC2)CC1=O,-32.76
ZINC000412047369,C[C@@H](NC[C@@H]1CCc2ccccc2C1)c1csnn1,-41.02
ZINC000435294946,CS[C@@H]1CCCCN(C(=O)CCOCC2CC2)C1,-32.96
ZINC000344755677,COC(=O)c1cc2c(o1)c(OC)ccc2CNC[C@H]1CCC[C@H]1O,-13.15
ZINC000089991214,O=C(C[C@@H]1CCCO1)Nc1c[nH]cc(Br)c1=O,-44.25
ZINC000564716456,CCC[C@@H]1CNCCN1C(=O)N[C@H]1CCO[C@H](c2ccccc2)C1,-29.96
ZINC000171950545,COc1cc(CN2CCN3CCC[C@@H]3C2)ccc1SC,-19.42
ZINC000172617047,CN(Cc1nnc[nH]1)C(=O)c1ccccc1C(=O)c1ccccc1,-43.78
ZINC000361921933,CN(C)S(=O)(=O)CCC(=O)N1CC[C@@H]2CCN(C)C[C@H]21,-11.23
ZINC000364304634,Cc1ccc(F)c(N2CCC(NC(=O)c3ccc(C#N)nc3)CC2)c1,-30.62
ZINC000331970196,C[C@H](CN1CCCCCC1)NC(=O)[C@H](C)NC(N)=O,-6.47
ZINC000048694948,Cc1ccc(F)cc1NC(=O)NC[C@@H]1CCCOC1,-27.78
ZINC000222090316,O=C(CCc1nc(-c2ccccc2)no1)N[C@H]1CCN2CCCC[C@@H]12,-24.5
ZINC000423581735,Clc1cc(Br)cc2c1CC[C@@H]2NC[C@@H]1CNCCO1,-23.36
ZINC000293243590,CO[C@@H]1CCCC[C@H]1C(=O)NCCn1ccnc1C,-38.95
ZINC000338271177,Cc1ccc2c(CN(C)[C@@H](C)C(=O)OC(C)C)ccc(O)c2n1,-37.13
ZINC000336597786,COc1ccc(Br)cc1NC(=O)[C@H]1CCN1,-22.82
ZINC000361435177,Cc1cc(C)nc(NC(=O)C2(c3cc(F)cc(C#N)c3)CC2)n1,-26.92
ZINC000046266442,CCN(CC)C(=O)Cc1ccc(NC(=O)[C@@H]2CC(=O)N(CC)C2)cc1,-35.13
ZINC000294393114,Cc1nc2ccc(NC(=O)CCC(C)(C)[N+](=O)[O-])cc2s1,-36.59
ZINC000297332805,COc1cncnc1NC(=O)N1C[C@@H](c2ccccc2)[C@H](C#N)C1,-32.64
ZINC000269498686,NC(=O)c1ccc(C(=O)NCCC2CCCCC2)o1,-32.73
ZINC000157036234,COCCOc1cccc(CNC(=O)NCCc2cccc(C)c2)c1,-29.47
ZINC000292618048,O=C(Nc1ccccc1OCC1CC1)c1cn(C2CCOCC2)nn1,-29.33
ZINC000262748884,CCS(=O)(=O)c1ccc(CC(=O)N[C@H]2CC[C@@H](C(=O)O)C2)cc1,-37.74
ZINC000292082944,CC1(C)C[C@@H]1NC(=O)N1C[C@@H](c2ccccc2)[C@H](C#N)C1,-32.41
ZINC000424467635,O=C(N[C@@H]1CCC[C@H](C2CC2)C1)N1CC[C@@H]2CNC[C@@H]21,-21.7
ZINC000497253734,CC(C)(C)OC(=O)NC[C@@]1(C)CCN(Cc2ccc(F)cn2)C1,-33.84
ZINC000413623336,CCOC(=O)[C@H](CC)C(=O)Nc1ccc(OCC)c(CO)c1,-28.37
ZINC000265246503,COC(=O)COc1cccc(CNC(=O)[C@@H](OC)c2ccccc2)c1,-34.46
ZINC000272957740,COc1ccc(C(=O)N(CC#N)C2CC2)cc1OC1CCCC1,-47.87
ZINC000367945216,CN(Cc1ccccc1)C(=O)NCCC(=O)N1CC2(C1)CCCOC2,-32.26
ZINC000367945212,O=C(c1ccc(N2CCCC2)nc1)N1CC2(C1)CCCOC2,-35.01
ZINC000352967134,COc1c(F)cc(F)cc1NC(=O)NCc1cccc(N(C)C)c1,-35.18
ZINC000352967137,CC(C)[C@](C)(O)C(=O)N1CCN(CCCOCC(F)(F)F)CC1,-34.43
ZINC000152500561,CCOc1ccc(C(=O)N[C@H]2C[C@@H](OCC)C23CCC3)cc1[N+](=O)[O-],-34.6
ZINC000268477024,CC(=O)Nc1ccc(F)c(C(=O)NC[C@H](O)C2CC2)c1,-37.99
ZINC000556212104,N#Cc1cc2c(nc1N1CCOC[C@H](C3CCC3)C1)CCOC2,-28.99
ZINC000262829082,C[C@H]1C[C@H](NC(=O)c2c[nH]nc2-c2ccc(F)cc2)CCN1,-27.47
ZINC000369937819,CCCO[C@H]1CCCN(C(=O)[C@@H]2CSC(=O)N2)CC1,-40.9
ZINC000268160113,COc1ccccc1N1CC[C@@H](NC(=O)Nc2sc(C)nc2C)C1,-26.45
ZINC000351599998,CCOCCOCC(=O)Nc1nc(-c2ccccc2)co1,-32.11
ZINC000331714132,COCC[C@H](C)NC(=O)CN1C(=O)NC2(C[C@@H](C)C[C@H](C)C2)C1=O,-26.8
ZINC000343660665,CN(C)Cc1cccc(CNC(=O)[C@@H]2COCCN2C)c1,-20.59
ZINC000283871469,COCCN(Cc1ccco1)C(=O)Nc1ncnn1C(C)(C)C,-29.12
ZINC000335935729,O=C(NCc1ccc(O)c(F)c1)c1sccc1F,-40.04
ZINC000054763403,CC[C@@H](CO)NC(=O)NCCN(C)Cc1ccccc1,-11.93
ZINC000515906515,O=C(N[C@@H]1CCO[C@H](C2CC2)C1)C(=O)N1CC[C@H]([C@@H]2CCOC2)C1,-30.3
ZINC000033320560,O=C1N=C(N/N=C\c2ccc(F)cc2)S[C@@H]1c1ccccc1,-35.95
ZINC000361851928,Cc1ccc2c(c1)CCN(CC(=O)N(C)Cc1cccs1)C2,-33.0
ZINC000252497098,CC(C)c1ccc(Cl)c(S(=O)(=O)NC[C@@]2(O)CCO[C@@H]2C)c1,-24.4
ZINC000281325279,Cc1cc(O[C@H]2CCN(C)C2=O)ccc1NC(=O)CC[C@@H]1CCCO1,-41.49
ZINC000111014004,CC[C@@H]1CN(C(=O)c2cccc(Cl)c2)C[C@@H](C)O1,-32.13
ZINC000263731474,COc1ccncc1NC(=O)c1cn(C)nc1C1CCCCC1,-35.34
ZINC000424306259,CO[C@@H](C)c1noc(CN(C)C[C@@H](CN)c2ccc(F)cc2)n1,-13.74
ZINC000345171909,COC(=O)CCN(C(=O)[C@H]1CCC[C@H](C(N)=O)C1)C(C)C,-30.72
ZINC000563416037,CCCN(C(C)C)S(=O)(=O)c1ccc(F)c(OC)c1,-31.72
ZINC000188281119,CCOC(=O)/C=C/c1ccc(NC(=O)[C@H]2C[C@H](F)CN2)cc1,-38.58
ZINC000557006392,CC(=O)N[C@H](CC(=O)N1CCC[C@@H]1c1ncon1)c1ccccc1,-28.79
ZINC000355381596,N#Cc1ccc(S(=O)(=O)NC[C@@H]2CCC[C@@]23NC(=O)NC3=O)cn1,-38.75
ZINC000561554816,Cc1nc(CN2CCC(CNC(=O)N[C@@H]3CC[C@H]3C)CC2)oc1C,-33.87
ZINC000275147717,C[C@@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)C[C@H]1CCOC1,-40.85
ZINC000343562186,N#CCNC(=O)CNC(=O)CNC(=O)c1ccc2c(c1)CCC2,-31.08
ZINC000493550224,COC(=O)[C@@H]1CCCC[C@@H]1NC(=O)/C=C/c1cncc(O)c1,-29.19
ZINC000276389773,COc1ccc(CNC[C@@H]2CC(C(N)=O)=NO2)cc1F,-30.06
ZINC000022262652,Cc1cc(OCC(=O)Nc2ccc(-c3nccs3)cc2)no1,-43.66
ZINC000408918284,CCOc1cc(/C=C2/NC(=O)NC2=O)cc(Cl)c1OCC(=O)O,-68.33
ZINC000341299629,CC(=O)N[C@H](CC(C)C)C(=O)N1CCS(=O)(=O)[C@H]2CCCC[C@@H]21,-29.71
ZINC000155979866,Cc1ccc(SCCNC(=O)CSc2cnn[nH]2)cc1,-38.36
ZINC000176368359,CC(C)COC[C@H](O)CNC(=O)CCc1nnc(-c2ccccc2)o1,-30.39
ZINC000529292473,COCCO[C@H]1CCCN(C(=O)c2ccsc2C(F)(F)F)C1,-37.3
ZINC000375620386,COCCCOC1CN(C(=O)[C@@]2(C)CCC(=O)NC2)C1,-37.97
ZINC000352456588,Cc1nc(C2(NC(=O)[C@H](C)CS(C)(=O)=O)CCCC2)no1,-34.99
ZINC000037988947,CC(C)CCOc1ccc(CNCc2nncn2C)cc1,-43.37
ZINC000179174342,Cc1nn(C)cc1[C@@H](C)NC(=O)CC[S@@](C)=O,-35.96
ZINC000348829282,CCOCCOC1CN(C(=O)NC2CCSCC2)C1,-25.91
ZINC000087351627,CC(C)(C)[C@H](NC(=O)[C@H]1CC(c2c(F)cccc2F)=NO1)C(N)=O,-32.26
ZINC000087351624,CCc1cccc2c(CC(=O)N[C@H](C(N)=O)C(C)(C)C)c[nH]c21,-33.94
ZINC000420984795,C[C@H](CCN1CCN(C(=O)C2CC2)C1)OCc1ccccc1,-32.04
ZINC000364815019,O=C(OCC1CC1)N1CCC[C@]2(C1)OCc1ccccc12,-25.07
ZINC000415711220,CC[C@@H](C(=O)Nc1cccnc1C(F)(F)F)N1CCCC1=O,-35.44
ZINC000270963517,Cc1cc(F)ccc1-n1cc(O)c(C(=O)N[C@H]2CC(C)(C)OC2=O)n1,-27.57
ZINC000346794125,CC[C@H](C)[C@@H](NC(C)=O)c1nc([C@@H](OC)c2ccc(F)cc2)no1,-27.75
ZINC000279501227,O=C(NC[C@H]1COC2(CCCCC2)O1)[C@H](O)c1ccccn1,-33.3
ZINC000031883364,CC(=O)N(C)CC(=O)Nc1nc(-c2ccc3c(c2)CCC3)cs1,-41.18
ZINC000328822908,COc1coc(C(=O)N2CC[C@@H]3CCN(C)C[C@@H]32)cc1=O,-37.55
ZINC000415544062,CC(C)[C@H](N)CCN(C)C(=O)Nc1cc2c(cc1F)NC(=O)CC2,-24.85
ZINC000132725812,CC(C)(C)OC1CC(N2CCC(OC[C@@H]3CCCCO3)CC2)C1,-26.9
ZINC000417501620,CC(C)n1[nH]cnc1=NC(=O)NC[C@H]1CCCC[C@@H]1C(F)(F)F,-33.68
ZINC000370297306,O=C(Nc1nccs1)N1CCN([C@@H]2CCCCNC2=O)CC1,-49.64
ZINC000073652008,C[C@@H](CNC(=O)N([C@@H](C)C1CC1)C1CC1)N1CCOCC1,-24.21
ZINC000158526612,Oc1ccccc1N1CCN(Cc2ccc3cn[nH]c3c2)CC1,-39.57
ZINC000519702137,C[C@@H](c1ccccc1)[C@H](O)CNCc1ccc(CO)c(F)c1,-19.98
ZINC000488796068,COC(=O)C1(O)CCN(C(=O)C[C@H]2C[C@H](C)c3c2cccc3C)CC1,-32.64
ZINC000360682162,COC[C@@H]1C[C@H](OC)CN1C(=O)N[C@@H](C)[C@H](C)OC,-18.3
ZINC000081994977,C[C@@H](NS(C)(=O)=O)C(=O)N(C)[C@@H](C)[C@H](C)c1ccc(Cl)cc1,-26.91
ZINC000289664122,COc1cc([C@H](C)NCCc2cn[nH]c2)ccc1S(C)(=O)=O,-22.46
ZINC000438275988,CCN1CCC[C@@H]1CNC(=O)N[C@@H]1C[C@H]1c1cccc(Cl)c1,-31.05
ZINC000008938647,C=C(C)CN1C(=O)N[C@@](C)(c2ccc(OC(F)F)cc2)C1=O,-39.92
ZINC000339684411,C[C@@H](C1CCN(C)CC1)N(C)C(=O)C(=O)NCCc1ccco1,-23.99
ZINC000495751762,CC(C)COC(=O)N1CCC(N[C@@H](C)c2nncn2C)CC1,-39.05
ZINC000377287055,CC(C)OC[C@H]1CN(C(=O)NCC2(S(C)(=O)=O)CCC2)CCO1,-27.08
ZINC000347603788,COC[C@@H]1C[C@H](OC)CN1C(=O)NCc1nnc(C(C)(C)C)s1,-34.4
ZINC000127200418,CNC(=O)C1CCN([C@H]2CCCN(CC(F)(F)F)C2=O)CC1,-32.7
ZINC000566299608,CO[C@@H]1CCC[C@@H]([C@H]2NC(=O)N(c3cc4n[nH]cc4c(C)c3)C2=O)C1,-28.63
ZINC000519937985,Cn1cc([N+](=O)[O-])cc1C(=O)N[C@@H]1CCN(CC(F)(F)F)C1,-37.97
ZINC000538382510,CC(C)CN1CCC[C@H](CNC(=O)N2CC[C@@H]2C(C)C)C1,-17.96
ZINC000116212056,Cc1noc(CCCC(=O)N2CCC[C@@H]2c2ccco2)n1,-37.08
ZINC000428508574,COC[C@H](C)CC(=O)N1CCn2c(nnc2C(F)(F)F)C1,-28.94
ZINC000368017933,CSC1(CN2CCC[C@H](N3CCCCCC3)C2)CC1,-13.85
ZINC000132069042,Cc1nc(NC(=O)CN(C)[C@H](C)CO)sc1Cc1ccc(C)cc1,-18.56
ZINC000452105603,COC(=O)c1sccc1S(=O)(=O)N[C@H](C)c1cccc(C)c1,-24.24
ZINC000171004508,Cc1noc(CCNC(=O)N[C@H](C)c2cccnc2)n1,-42.89
ZINC000252794685,CCO[C@@H]1C[C@@H](NCc2cc(F)ccc2Br)[C@H]1OC,-24.23
ZINC000454819598,CC[C@@H](NC(=O)NCCC(C)(C)O)C1CCCC1,-32.39
ZINC000342066001,C[C@H](CN1CCCCC[C@H]1CCO)CS(C)(=O)=O,-6.9
ZINC000174625575,COC[C@@H](NC(=O)CCC(=O)c1ccc(OC)cc1)c1ccco1,-30.27
ZINC000544084807,O=C(Nc1cccc([C@H]2CNC(=O)C2)c1)C12CCC(CC1)C2,-28.59
ZINC000530202090,CO[C@@H]1CCN2C(=O)N(CC3CC=CC3)C(=O)[C@@H]2C1,-29.29
ZINC000358561255,C[C@H](NC[C@H]1CCN(CC(F)(F)F)C1)c1ccc(C#N)cc1F,-18.95
ZINC000120186450,Cc1cc(C(=O)N2C[C@@H](C)c3ccccc32)n(C)n1,-32.29
ZINC000453000792,CCN1C[C@H](NC(=O)C[C@H](C)c2ccccc2OC)CC1=O,-29.54
ZINC000368790750,O=C(Nc1ccc(N2CCCS2(=O)=O)cc1)[C@H]1C[C@@H]1c1ccco1,-37.62
ZINC000358500699,C[C@H]([C@@H](C)S(C)(=O)=O)N(C)C(=O)N=c1cccn[nH]1,-40.75
ZINC000334690821,Cc1ccc(CNC(=O)N2CC[C@H](F)C2)c(C)c1,-28.85
ZINC000078570802,COC(=O)C[C@@H]1CN(C(=O)Nc2cc(F)c(F)cc2F)CCO1,-31.14
ZINC000189932887,CCSCC[C@@H](C)NC(=O)N[C@H](C)c1ccncc1OC,-22.06
ZINC000337171029,C[C@@H]1COCCN1CCN1CCC[C@@H]1C1CCOCC1,-15.67
ZINC000569381956,O=C(c1c[nH]nc1-c1ccncc1)N1CC[C@](F)(c2ccccc2)C1,-34.13
ZINC000178875901,COC(=O)C[C@H]1CCCN1C(=O)c1ccc(N2CCCCCC2)nc1,-33.07
ZINC000493288710,Cc1cnccc1/C=C/C(=O)N1CCN(C(=O)OC(C)(C)C)C[C@H]1C,-33.71
ZINC000354514078,COC(=O)c1cn(C2CN(C(=O)c3n[nH]c(C)c3[N+](=O)[O-])C2)nn1,-44.72
ZINC000174437077,COC[C@@H]1CN(C(=O)Nc2ccc(C)cc2F)CCO1,-32.0
ZINC000365107531,C[C@@H](O)CCCNC(=O)N[C@@H]1CCN(C2CCCC2)C1,-3.44
ZINC000577267934,Fc1ccc(CN[C@@H]2CNC[C@H]2c2ccccc2)c(F)c1,-22.11
ZINC000494282972,C[C@@H]1CN(S(=O)(=O)NCc2cc(C(N)=O)co2)[C@@H](C)CO1,-37.57
ZINC000339594697,C[C@@H](CO)CNC(=O)NCCc1cnc(C2CC2)nc1,-36.29
ZINC000492778099,O=C(/C=C\c1cnc[nH]1)N1CCN(CC(=O)N2CCCCC2)CC1,-41.53
ZINC000000465516,O=S(=O)(Nc1cccnc1)c1c(Cl)cccc1Cl,-48.38
ZINC000341664823,CCC(CC)(CC)CNC(=O)[C@@H](C)CN1CCOCC1,-22.65
ZINC000350786232,CCNC(=O)N1CC[C@H](NC(=O)NCC[C@H]2CCCC[C@@H]2C)C1,-30.31
ZINC000429361820,CC[C@H](C(=O)OC)N1CC[C@H](C(=O)OC)[C@@H]1C(C)C,-11.58
ZINC000191112089,Cc1cccc(C[C@@H](CO)NC(=O)[C@@H]2Cc3ccccc3O2)c1,-29.41
ZINC000072432790,Cc1cccc(S(=O)(=O)N2CCC(C(=O)O)(n3cccn3)CC2)c1,-66.05
ZINC000278713787,CC[C@@]1(C)NC(=O)N(NS(=O)(=O)c2sc(C)nc2C)C1=O,-49.44
ZINC000183244767,O=C(Nc1ccc(O)cc1F)C1(c2ccc(F)cc2)CC1,-39.96
ZINC000529762599,CCS(=O)(=O)c1ccccc1C(=O)NC[C@H](O)[C@H]1CCCO1,-31.91
ZINC000458504425,CC[C@H](NC(=O)NC1CCN(C2CCCC2)CC1)[C@@H](O)C(F)F,-15.15
ZINC000195017748,O=C(/C=C/c1cc2ccccc2o1)N1CCC[C@@]2(C1)NC(=O)NC2=O,-40.69
ZINC000398687032,C[C@@H]1C[C@@H](CO)CN(c2nc(C(F)(F)F)ns2)C1,-33.92
ZINC000535615015,CC(=O)Nc1ccccc1CNC(=O)N(CC(F)F)CC1CCC1,-39.7
ZINC000297904629,Cc1ccc(CN(C)C(=O)C(=O)N2CCN(CC(C)C)C(=O)C2)o1,-26.18
ZINC000454483787,CCNC(=O)c1ccc(NC(=O)N[C@H](C(C)C)[C@@H](CO)C(C)C)cc1,-17.88
ZINC000412187535,CCOC(=O)[C@@H](CC)C(=O)Nc1nc2c(cccc2F)n1C,-31.06
ZINC000370492484,O=C(Nc1cccc(N2CCC2=O)c1)N1CC(O)(C2CC2)C1,-40.93
ZINC000316922997,C[C@@H]1CN2CCCC[C@@H]2CN1Cc1cccc2cccnc21,-37.21
ZINC000332654922,CO[C@@H]1CN(C(=O)C(=O)N2CC[C@@H]3NCC[C@@H]3C2)CC[C@H]1C,-21.59
ZINC000338305540,O=C(COc1ccc(Cl)c2ccccc12)N1C[C@@H]2COC[C@H](C1)O2,-34.0
ZINC000330169591,Cc1ccc(S(=O)(=O)N2CC[C@@H](N3CCCC3=O)C2)c(Cl)c1,-34.4
ZINC000492085024,O=C(/C=C\C1CCC1)NCc1cccc(-n2ccnc2)c1,-36.85
ZINC000095400751,C[C@@H](Nc1ncccn1)[C@H]1CN(Cc2ccccc2)CCO1,-29.92
ZINC000254992189,CN1C(=O)CN(C(=O)/C=C\c2ccc3c(c2)CCO3)c2ccccc21,-34.67
ZINC000046746684,Cc1ncsc1C(=O)N(C)[C@@H]1CCc2ccccc21,-39.67
ZINC000295452916,CCC[C@@H](CNC(=O)CCc1nccs1)OC,-32.96
ZINC000375673394,C[C@@H]1CN(C(=O)[C@@H]2CC2(Cl)Cl)C[C@H]1C(=O)N1CCOCC1,-32.78
ZINC000576514970,CCCCn1nnnc1CN1CC[C@@H](OC(C)C)C1,-32.59
ZINC000530577924,CC(C)n1cc([C@H](C)NC(=O)C2CCN(C)CC2)cn1,-30.16
ZINC000276990835,O=C1O[C@@H](CN2CCN(c3cncc(F)c3)CC2)CC12CCC2,-36.08
ZINC000188753121,CCN1CCCC[C@@H]1CNC(=O)C(=O)Nc1cnn([C@@H](C)C2CC2)c1,-24.5
ZINC000270370119,CC(C)Oc1cc(C(=O)N2CCC(N(C)CCCO)CC2)ccn1,-25.8
ZINC000362211839,COc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)NC[C@@H]1CC[C@H](C)C1,-42.23
ZINC000440564205,CCC[C@@](C)(O)CNC(=O)[C@H]1CCCN1C(=O)CC(C)(C)C,-28.06
ZINC000335007316,O=C(C[C@H]1CCCN1)N[C@@H]1CCCOc2cc(F)ccc21,-19.75
ZINC000536589116,C[C@H](NC(=O)[C@]12CCC(=O)N1CCS2)c1cccc(F)c1F,-36.81
ZINC000178087861,CC[C@H]1CCCCN1C(=O)C[S@](=O)Cc1ccc(F)c(F)c1,-29.9
ZINC000295297697,CC[C@@H]1CCC[C@H]1C(=O)Nc1ccc(C(N)=O)nc1,-35.59
ZINC000410744422,CC[C@@]1(C)CN(C(=O)C(=O)N2CCO[C@@H](C(=O)NC)C2)CCO1,-26.3
ZINC000154655235,CNC[C@@H](C)CNC(=O)[C@H]1CCN(c2cccc(Cl)c2)C1=O,-26.21
ZINC000541423469,CCCc1c(C(=O)NCC[C@@H]2C(=O)NN=C2C)cnn1C1CCCC1,-46.24
ZINC000411517880,O=C(NCCOC1CCCC1)[C@@H]1CCO[C@H]1c1ccccc1,-29.44
ZINC000173003118,Cc1[nH]nc2ncc(C(=O)N3CCC[C@H](C)[C@@H]3C)cc12,-49.22
ZINC000178030161,CC(=O)Nc1cccc(CN[C@H](C)c2cn(C)nc2C)c1,-31.11
ZINC000290269613,C[C@H]1[C@@H](NC(=O)OC(C)(C)C)CCN1C(=O)c1c(O)cccc1F,-43.31
ZINC000301825220,Clc1ccccc1OC1CCN(c2ncnc3nc[nH]c32)CC1,-39.2
ZINC000159357344,CN(CCc1cccs1)C(=O)N[C@H]1CCOC1,-32.24
ZINC000296604392,COC[C@H](CN[C@H]1CCc2cccc(O)c21)OC,-7.72
ZINC000264200885,CC(C)(C)c1csc(CNC(=O)COC2CCCC2)n1,-27.14
ZINC000339785413,CO[C@@]1(C)CCCN(C(=O)C(=O)NCCCOCC(C)C)C1,-28.81
ZINC000291301041,Cc1nnc(CCNC(=O)c2nccn3ccnc23)s1,-44.3
ZINC000410891250,CCOCCN(C)C(=O)C(=O)N(C)[C@H]1CCCC[C@H]1CC,-18.74
ZINC000547963170,CCOC(=O)c1cnc(N(C)Cc2ccc(C)cc2)cn1,-35.54
ZINC000021850174,Cc1ccc2c(COC(=O)[C@@H]3CCC(=O)N3)cc(=O)oc2c1,-35.8
ZINC000021850177,Cc1ccc2c(COC(=O)[C@H]3CCC(=O)N3)cc(=O)oc2c1,-39.57
ZINC000287461901,COc1c(C)ccc(NC(=O)C2=C(C)OCCS2)c1C,-39.93
ZINC000193115441,CCN(CC)C(=O)[C@H](C)N1CCC(OCCC(C)C)CC1,-12.04
ZINC000546823422,O=C(c1ccc(-n2cncn2)cc1)N1CCOCC2(CCC2)C1,-40.28
ZINC000353970107,C[C@@H](N[C@@H](C)c1cccc(S(N)(=O)=O)c1)c1ccc2n[nH]cc2c1,-32.15
ZINC000120314200,COc1ccc(CN(C)C(=O)[C@@H](C)Oc2ccc(C#N)cc2)cc1O,-35.62
ZINC000492636370,O=C(/C=C\c1ccc(O)cc1)NCCC(=O)Nc1cccnc1,-19.87
ZINC000377054724,CN(C)c1ccc(NC(=O)N2CCC[C@H]2C2CC2)nc1,-25.29
ZINC000362225031,CCOC(=O)[C@@H](NC(=O)C(=O)c1ccc2c(c1)CCC2)[C@@H](C)CC,-28.4
ZINC000566293882,C[C@@H]1CCCCN1CCC1CCN(C(=O)CC2(CN)CC2)CC1,-3.18
ZINC000367500473,O=C([C@H]1CC(=O)N(c2ccccc2Cl)C1)N1CCn2nccc21,-33.97
ZINC000269736815,CC(C)[C@@H](O)CC(=O)NC1CC(C)(c2ccccc2)C1,-28.34
ZINC000415175605,CC(C)N(C)c1cccc(NC(=O)N2CCC3(C2)CCNCC3)c1,-31.49
ZINC000262437519,C[C@H]1C[C@@H](C(=O)NCc2ccc(CN3CCN(C)CC3)cc2)CCN1,-14.72
ZINC000351701127,CC[C@@H](C)NS(=O)(=O)c1csc2ccccc21,-40.1
ZINC000354505857,COC(=O)[C@@H]1CC[C@@H]1C(=O)NC[C@H](C)c1nc(-c2ccccc2)no1,-28.96
ZINC000293780264,COC[C@@H]1CCN1C(=O)c1cccc(OCC(=O)OC)c1,-27.35
ZINC000297631754,O=C(OCc1cc(Br)cnc1Cl)[C@@H]1CC1(F)F,-39.51
ZINC000448795052,CCC[C@H]1CCC[C@H]1C(=O)N(C)Cc1cscn1,-25.34
ZINC000491139465,CC(C)(C)OC(=O)NCCC(=O)NS(=O)(=O)N1CCCC1,-48.39
ZINC000450648387,C[C@H](c1csnn1)N(C)CC1CCN(c2ccncc2)CC1,-31.85
ZINC000280666754,Cc1cccc(OCCCNC(=O)[C@H]2CC[C@H](C(N)=O)O2)c1C,-24.99
ZINC000341029193,CCNC(=O)c1cccc(CNC(=O)N[C@H]2CCN(C)[C@@H](C)C2)c1,-40.16
ZINC000544289720,CC(C)[C@@H](C)N(C(=O)NC[C@@H]1CCCCS1)C1CC1,-21.71
ZINC000497236195,C[C@@H]1OC(=O)N[C@@H]1C(=O)N1CCC[C@H](n2ccnn2)C1,-39.85
ZINC000530099930,CC[C@@H](NC(=O)[C@@H]1CCNC(=O)C1)c1cc(C)ccc1C,-36.98
ZINC000287755624,C[C@H]1CN(c2ccc(NC(=O)c3cccnc3F)cn2)C[C@H](C)O1,-29.14
ZINC000249881347,Cc1nn(C)c(N2CCOCC2)c1CN1CC[C@H](O)[C@@H](C)C1,-24.52
ZINC000371231168,Cc1cnc(N[C@@H]2CCCN(c3cccnn3)C2)nc1C,-34.57
ZINC000119027496,CSCC[C@@H](CO)NC(=O)c1ccc(F)cc1OC(F)F,-27.03
ZINC000248918012,CCN1CCO[C@@H](C(=O)N[C@@H](C(=O)OC)c2ccc(C)c(C)c2)C1,-23.86
ZINC000261550254,O=S(=O)(CCC1CC1)N1CC[C@H]2CNC[C@H]2C1,-16.77
ZINC000292371787,CC(C)(C)OC(=O)N1CC[C@H]2CN(Cc3ccno3)CC[C@H]21,-29.0
ZINC000328788683,O/C(=N/[C@@H]1c2ccccc2C[C@@H]1O)c1coc(C2CCOCC2)n1,-27.91
ZINC000113086251,C[C@H]([C@H](C)N(C)C(=O)c1cccc([N+](=O)[O-])c1)S(C)(=O)=O,-27.46
ZINC000356136052,Cc1ccc(Cc2noc([C@@H]3CC[C@H](C)O3)n2)cn1,-35.46
